stationId,destination_stationId,hour,lat,lng,destination_lat,destination_lng,estimate_time,predict_time,delta_time
1992,323,18,10.872419,106.768248,10.875454,106.758689,175.8,174.6,158.792614
1992,323,6,10.872419,106.768248,10.875454,106.758689,141,166.8,151.540279
1992,323,6,10.872419,106.768248,10.875454,106.758689,136.2,166.8,244.457375
1992,323,16,10.872419,106.768248,10.875454,106.758689,154.8,176.4,106.659528
1992,323,15,10.872419,106.768248,10.875454,106.758689,145.8,202.2,228.996223
1992,323,18,10.872419,106.768248,10.875454,106.758689,176.4,174.6,159.010799
1992,323,16,10.872419,106.768248,10.875454,106.758689,171.6,176.4,176.473746
1992,323,14,10.872419,106.768248,10.875454,106.758689,178.2,153,241.449314
1992,323,16,10.872419,106.768248,10.875454,106.758689,171.6,176.4,172.535908
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,164.096513
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,224.094324
1992,323,6,10.872419,106.768248,10.875454,106.758689,119.4,166.8,149.613385
1992,323,13,10.872419,106.768248,10.875454,106.758689,144,156.6,146.251245
1992,323,16,10.872419,106.768248,10.875454,106.758689,144.6,176.4,174.03233
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,216.655255
1992,323,10,10.872419,106.768248,10.875454,106.758689,144.6,197.4,130.264686
1992,323,18,10.872419,106.768248,10.875454,106.758689,137.4,174.6,193.764665
1992,323,17,10.872419,106.768248,10.875454,106.758689,189,187.2,143.268145
1992,323,6,10.872419,106.768248,10.875454,106.758689,119.4,166.8,209.351139
1992,323,16,10.872419,106.768248,10.875454,106.758689,154.8,176.4,183.591879
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,111.552723
1992,323,16,10.872419,106.768248,10.875454,106.758689,154.8,176.4,128.991148
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,144.754188
1992,323,6,10.872419,106.768248,10.875454,106.758689,142.2,166.8,146.27907
1992,323,17,10.872419,106.768248,10.875454,106.758689,189,187.2,364.23732
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,144.466433
1992,323,7,10.872419,106.768248,10.875454,106.758689,144.6,174.6,138.980806
1992,323,7,10.872419,106.768248,10.875454,106.758689,129,174.6,306.748056
1992,323,19,10.872419,106.768248,10.875454,106.758689,190.2,145.2,137.510612
1992,323,6,10.872419,106.768248,10.875454,106.758689,191.4,166.8,333.943517
1992,323,18,10.872419,106.768248,10.875454,106.758689,137.4,174.6,312.462563
1992,323,18,10.872419,106.768248,10.875454,106.758689,144.6,174.6,222.891994
1992,323,11,10.872419,106.768248,10.875454,106.758689,162,165.6,171.686855
1992,323,6,10.872419,106.768248,10.875454,106.758689,191.4,166.8,127.953904
1992,323,15,10.872419,106.768248,10.875454,106.758689,145.8,202.2,105.603747
1992,323,17,10.872419,106.768248,10.875454,106.758689,144.6,187.2,178.325573
1992,323,4,10.872419,106.768248,10.875454,106.758689,145.2,128.4,156.959874
1992,323,13,10.872419,106.768248,10.875454,106.758689,141,156.6,171.611727
1992,323,17,10.872419,106.768248,10.875454,106.758689,182.4,187.2,108.892335
