feature,importance
cat__h3_pair_89415cb4d47ffff->89414368657ffff,0.0006589522
cat__h3_pair_89415cb4987ffff->89415cb687bffff,0.0006584654
cat__h3_pair_89415cb49afffff->894143682c3ffff,0.0006520269
cat__h3_pair_89415cb4b0fffff->89415cb4b97ffff,0.0006440119
cat__h3_pair_89415cb4d5bffff->89415cb687bffff,0.0006428965
cat__h3_pair_89415cb4d5bffff->89415cb4ba3ffff,0.00063087244
cat__h3_pair_89415cb4b97ffff->89415ca7123ffff,0.00062642875
cat__h3_pair_89415cb684bffff->89415cb4d47ffff,0.0006256562
cat__h3_pair_89415cb49afffff->89415ca640bffff,0.00062176934
cat__h3_pair_89415cb4e43ffff->8941436945bffff,0.0005996871
cat__h3_pair_89415cb4bc3ffff->89415cb4ba3ffff,0.0005967194
cat__h3_pair_89415cb4ba3ffff->89415cb4e43ffff,0.00058814354
cat__h3_pair_89415cb4bc3ffff->89415cb4193ffff,0.00058454694
cat__h3_pair_89415cb684bffff->89415ca640bffff,0.00058259384
cat__h3_pair_89414368657ffff->8941436945bffff,0.0005673216
cat__h3_pair_89415cb4a47ffff->89415cb5dc7ffff,0.00056394906
cat__h3_pair_89415cb5dc7ffff->89415cb4b97ffff,0.000561279
cat__h3_pair_8941436945bffff->89415cb684bffff,0.0005557059
cat__h3_pair_89414369647ffff->89415cb4b0fffff,0.0005527214
cat__h3_pair_89415cb4d5bffff->89415cb4cd7ffff,0.0005497959
cat__h3_pair_89415cb5db3ffff->8941436945bffff,0.0005488048
cat__h3_pair_89415cb46afffff->89415ca7123ffff,0.00054710906
cat__h3_pair_89414369617ffff->89415cb4193ffff,0.00053416437
cat__h3_pair_89415cb4b97ffff->894143682c3ffff,0.00052635116
cat__h3_pair_89415cb4a47ffff->89415cb4e43ffff,0.0005252247
cat__h3_pair_89415cb4cd7ffff->89415cb4d5bffff,0.00052265084
cat__h3_pair_89415ca7123ffff->89415cb4a47ffff,0.00052177126
cat__h3_pair_89415cb46afffff->89415ca640bffff,0.0005040373
cat__h3_pair_89415cb4cd7ffff->89414369647ffff,0.0004953646
cat__h3_pair_89415cb4bc3ffff->8941436945bffff,0.00049328554
cat__h3_pair_89415ca7123ffff->89414369617ffff,0.00049082853
cat__h3_pair_89415cb4d5bffff->89415cb4d47ffff,0.0004877498
cat__h3_pair_89415cb4a47ffff->89414369617ffff,0.0004815259
cat__h3_pair_89414368657ffff->89415cb684bffff,0.00047739694
cat__h3_pair_89415cb4e43ffff->89415cb4b97ffff,0.00047240822
cat__h3_pair_89415cb46afffff->89415cb687bffff,0.00047074602
cat__h3_pair_89414369617ffff->89415cb46afffff,0.00046845598
cat__h3_pair_894143682c3ffff->89414369617ffff,0.00046582424
cat__h3_pair_89415cb4cd7ffff->89415cb4a47ffff,0.0004570751
cat__h3_pair_89415cb4e3bffff->89415cb4ba3ffff,0.00045091502
cat__h3_pair_89415cb49afffff->89415cb4b0fffff,0.00044891163
cat__h3_pair_89414369647ffff->89415cb4bc3ffff,0.00044188954
cat__h3_pair_89415cb4d47ffff->89415cb4b97ffff,0.00043888637
cat__h3_pair_89415cb4b97ffff->89415cb4e3bffff,0.00043607128
cat__h3_pair_8941436945bffff->89415cb4d47ffff,0.00043602832
cat__h3_pair_89415cb4b97ffff->89415cb4bc3ffff,0.00043592404
cat__h3_pair_89415cb4cd7ffff->89415cb5db3ffff,0.00043589988
cat__h3_pair_89415cb4ba3ffff->89415cb4cd7ffff,0.00043561397
cat__h3_pair_89415cb4193ffff->89415cb4ba3ffff,0.00042257717
cat__h3_pair_89415cb684bffff->89415cb4a47ffff,0.00041724276
cat__h3_pair_89415cb4e3bffff->89415cb5db3ffff,0.00041618646
cat__h3_pair_89415cb49afffff->89415cb4d47ffff,0.00041279264
cat__h3_pair_89415cb5db3ffff->89415cb49afffff,0.00041260995
cat__h3_pair_89415cb49afffff->89415cb4ba3ffff,0.0004120843
cat__h3_pair_894143682c3ffff->89415cb49afffff,0.00041152336
cat__h3_pair_89415cb4b0fffff->89414368657ffff,0.00040917267
