h3_pair,count,origin_h3,destination_h3,actual_eta_mean,baseline_mae,residual_mae,residual_improvement_vs_baseline,residual_p90_abs_error
89415cb4cd7ffff->89415cb4a47ffff,29,89415cb4cd7ffff,89415cb4a47ffff,1468.6896551724137,343.3448275862069,135.01664179357988,208.32818579262704,296.215185546875
89415cb4d47ffff->89415cb49afffff,32,89415cb4d47ffff,89415cb49afffff,945.28125,396.59375,135.01485959999263,261.57889040000737,270.8236267089845
8941436945bffff->894143682c3ffff,32,8941436945bffff,894143682c3ffff,1552.09375,391.4375,134.97655972838402,256.460940271616,241.05235671997082
89415ca640bffff->89415cb4b0fffff,28,89415ca640bffff,89415cb4b0fffff,969.0714285714286,520.8928571428571,134.721465076719,386.1713920661381,279.21089477539067
89414369647ffff->89415cb5dc7ffff,49,89414369647ffff,89415cb5dc7ffff,1802.7551020408164,339.8775510204082,134.57031142954924,205.30723959085896,289.9357543945313
89415cb4b97ffff->894143682c3ffff,25,89415cb4b97ffff,894143682c3ffff,2468.68,581.44,134.46038305282593,446.9796169471741,253.6799072265625
89415cb4ba3ffff->89414369647ffff,70,89415cb4ba3ffff,89414369647ffff,816.3428571428572,432.14285714285717,134.3107579712357,297.8320991716215,313.0607086181641
89415cb46afffff->89415cb4d47ffff,21,89415cb46afffff,89415cb4d47ffff,2624.5714285714284,541.5714285714286,134.2816695939927,407.2897589774359,186.75613403320312
89415ca640bffff->89415cb4987ffff,23,89415ca640bffff,89415cb4987ffff,2219.7391304347825,548.1304347826087,134.27238494546518,413.85804983714354,250.86489868164062
89415cb4e3bffff->89415cb5db3ffff,30,89415cb4e3bffff,89415cb5db3ffff,726.9666666666667,420.2,134.21176828742028,285.9882317125797,280.67843017578133
89415cb4bc3ffff->89415cb5db3ffff,24,89415cb4bc3ffff,89415cb5db3ffff,806.875,311.25,134.0423164019982,177.2076835980018,205.72867126464843
89415cb4d5bffff->89415cb5db3ffff,24,89415cb4d5bffff,89415cb5db3ffff,1176.0,373.6666666666667,134.00955551862717,239.65711114803952,253.88345947265626
89415cb4987ffff->89415cb4bc3ffff,34,89415cb4987ffff,89415cb4bc3ffff,991.5,375.02941176470586,133.96135421803987,241.06805754666598,270.2162139892578
89415ca7123ffff->89415cb4b0fffff,34,89415ca7123ffff,89415cb4b0fffff,2221.5588235294117,378.6764705882353,133.8375887835727,244.8388818046626,298.37201232910155
89415cb49afffff->89415cb46afffff,28,89415cb49afffff,89415cb46afffff,2872.6428571428573,358.0,133.76524213382177,224.23475786617823,296.7106018066406
89414369617ffff->89415ca640bffff,29,89414369617ffff,89415ca640bffff,1691.2413793103449,601.3103448275862,133.61812228169936,467.6922225458868,296.44940185546875
89415cb4b97ffff->89415cb46afffff,23,89415cb4b97ffff,89415cb46afffff,2797.1304347826085,463.69565217391306,133.5746272335882,330.1210249403249,241.77873535156252
89415cb684bffff->89415cb4e3bffff,32,89415cb684bffff,89415cb4e3bffff,1594.6875,444.625,133.4369205625262,311.1880794374738,258.9342781066895
89415cb4a47ffff->89415cb687bffff,20,89415cb4a47ffff,89415cb687bffff,2135.0,283.4,133.29042485952377,150.1095751404762,228.16209106445316
89415cb4987ffff->89415cb4b97ffff,25,89415cb4987ffff,89415cb4b97ffff,577.76,309.0,133.2818409347534,175.7181590652466,268.38513183593756
89415cb684bffff->89415cb4cd7ffff,26,89415cb684bffff,89415cb4cd7ffff,946.5,456.61538461538464,133.1491508117089,323.4662338036758,269.94911193847656
89415cb4d5bffff->89415cb687bffff,30,89415cb4d5bffff,89415cb687bffff,1084.6,357.1,133.08774220148723,224.0122577985128,301.67308044433594
89415cb687bffff->89415cb4e3bffff,33,89415cb687bffff,89415cb4e3bffff,1628.2727272727273,389.45454545454544,133.02617755464533,256.4283678999001,287.04221191406253
89414368657ffff->89415cb4d47ffff,24,89414368657ffff,89415cb4d47ffff,1729.25,365.0833333333333,132.9513409510255,232.13199238230783,248.52483291625973
89415cb4d5bffff->89415cb4cd7ffff,23,89415cb4d5bffff,89415cb4cd7ffff,942.5217391304348,544.1739130434783,132.90625958857328,411.267653454905,358.14150390625
89415cb4987ffff->89415cb4e3bffff,31,89415cb4987ffff,89415cb4e3bffff,1228.2903225806451,452.80645161290323,132.68593264923942,320.1205189636638,240.5474853515625
89415cb687bffff->89415ca7123ffff,28,89415cb687bffff,89415ca7123ffff,4360.821428571428,479.0357142857143,132.57683163455553,346.4588826511588,268.8719757080078
89414369647ffff->89415cb4987ffff,57,89414369647ffff,89415cb4987ffff,1084.140350877193,444.4736842105263,132.52673385017798,311.9469503603483,291.0656494140625
89415cb4d5bffff->89415cb49afffff,34,89415cb4d5bffff,89415cb49afffff,930.2941176470588,360.20588235294116,132.4558895543656,227.74999279857556,234.99496459960935
89415cb4d47ffff->89414369617ffff,22,89415cb4d47ffff,89414369617ffff,1178.8181818181818,385.5,132.4036302742633,253.0963697257367,207.0020515441895
89414369617ffff->89415cb4193ffff,27,89414369617ffff,89415cb4193ffff,1997.4074074074074,334.4074074074074,132.33774496007848,202.0696624473289,213.81577148437515
89415cb46afffff->89415cb5db3ffff,25,89415cb46afffff,89415cb5db3ffff,1480.0,324.16,132.28034616470336,191.87965383529666,214.39199218750002
89415cb4b0fffff->89415cb4193ffff,23,89415cb4b0fffff,89415cb4193ffff,1916.7826086956522,526.0434782608696,132.23541649528173,393.8080617655879,371.12309570312505
89415cb49afffff->89415cb4cd7ffff,32,89415cb49afffff,89415cb4cd7ffff,1823.1875,459.34375,132.16242602095008,327.1813239790499,238.22760848999025
89415cb4ba3ffff->89415cb4193ffff,24,89415cb4ba3ffff,89415cb4193ffff,2080.4583333333335,391.9166666666667,132.1018063823382,259.81486028432846,233.08426818847653
89415cb4cd7ffff->89415cb4b0fffff,25,89415cb4cd7ffff,89415cb4b0fffff,1903.04,521.6,131.93995584577323,389.6600441542268,302.5135620117189
89414368657ffff->89415cb46afffff,29,89414368657ffff,89415cb46afffff,3471.0344827586205,453.17241379310343,131.8295587404021,321.34285505270134,271.81623535156245
89415cb4987ffff->89415cb687bffff,26,89415cb4987ffff,89415cb687bffff,1720.3461538461538,413.0769230769231,131.52840344722455,281.54851962969855,255.890869140625
89415cb46afffff->89415cb4987ffff,27,89415cb46afffff,89415cb4987ffff,3030.6296296296296,554.8518518518518,131.51052700093499,423.34132485091686,221.89650878906255
89415cb5db3ffff->89415cb684bffff,23,89415cb5db3ffff,89415cb684bffff,2027.7826086956522,397.30434782608694,131.5104531425497,265.79389468353725,280.09102325439454
89415cb4cd7ffff->89415cb4ba3ffff,20,89415cb4cd7ffff,89415cb4ba3ffff,1549.1,341.05,131.4787580370903,209.5712419629097,248.01214599609386
89414369647ffff->89415cb687bffff,66,89414369647ffff,89415cb687bffff,2446.409090909091,401.72727272727275,131.42686543644717,270.30040729082555,255.32742309570312
89414369647ffff->8941436945bffff,40,89414369647ffff,8941436945bffff,835.775,448.425,131.33154215216638,317.09345784783363,245.93829345703134
89415cb46afffff->89415ca7123ffff,27,89415cb46afffff,89415ca7123ffff,3693.4074074074074,373.55555555555554,131.1058608646746,242.44969469088093,264.79614257812506
89414369617ffff->89415cb4ba3ffff,23,89414369617ffff,89415cb4ba3ffff,637.3913043478261,323.17391304347825,131.00361537674198,192.17029766673627,291.4515625
89414369647ffff->89415cb4b0fffff,12,89414369647ffff,89415cb4b0fffff,625.5833333333334,314.1666666666667,130.98435270786285,183.18231395880383,259.6080291748047
89415cb49afffff->89414368657ffff,26,89415cb49afffff,89414368657ffff,1666.3461538461538,482.2307692307692,130.71263146400452,351.5181377667647,309.60931396484375
89415cb4987ffff->89415cb49afffff,28,89415cb4987ffff,89415cb49afffff,553.4642857142857,390.5,130.49910231998987,260.0008976800101,227.89896240234376
8941436945bffff->89415cb46afffff,21,8941436945bffff,89415cb46afffff,2871.6190476190477,438.0,130.45957324618385,307.5404267538162,304.99365234375
89415cb4193ffff->89415cb4987ffff,25,89415cb4193ffff,89415cb4987ffff,2048.88,441.8,130.4594481396675,311.34055186033254,226.35090637207034
89415cb684bffff->89415cb4bc3ffff,27,89415cb684bffff,89415cb4bc3ffff,1999.4814814814815,418.3703703703704,130.32402717156543,288.04634319880495,267.1696044921875
89415cb4e3bffff->89414369647ffff,57,89415cb4e3bffff,89414369647ffff,1519.2631578947369,393.7368421052632,130.27947086618659,263.45737123907656,239.8032516479492
89415cb49afffff->89414369617ffff,31,89415cb49afffff,89414369617ffff,805.5483870967741,456.9032258064516,130.23266051685619,326.6705652895954,334.46502685546875
89415cb4d5bffff->89415cb4d47ffff,30,89415cb4d5bffff,89415cb4d47ffff,626.0666666666667,477.23333333333335,130.1160982608795,347.1172350724538,264.687683105469
894143682c3ffff->89415cb4987ffff,35,894143682c3ffff,89415cb4987ffff,1832.4571428571428,412.51428571428573,130.00397773470198,282.5103079795838,244.04931640625
89415cb5dc7ffff->89415cb4ba3ffff,27,89415cb5dc7ffff,89415cb4ba3ffff,1843.8148148148148,478.44444444444446,129.99647581135784,348.4479686330866,213.6879150390626
89415cb4b0fffff->89415cb4987ffff,17,89415cb4b0fffff,89415cb4987ffff,1145.1764705882354,482.7647058823529,129.84877749050364,352.9159283918493,269.035400390625
89415cb4d5bffff->89414368657ffff,28,89415cb4d5bffff,89414368657ffff,1919.357142857143,445.85714285714283,129.8407746212823,316.01636823586057,276.77918701171876
89414369647ffff->89415ca7123ffff,47,89414369647ffff,89415ca7123ffff,2232.1063829787236,368.74468085106383,129.58475336622683,239.159927484837,283.78017578125
89414368657ffff->89415cb4cd7ffff,27,89414368657ffff,89415cb4cd7ffff,2231.703703703704,298.2962962962963,129.4869746300909,168.8093216662054,265.5550598144532
89415cb5db3ffff->89414369617ffff,34,89415cb5db3ffff,89414369617ffff,1784.1176470588234,341.9117647058824,129.44475542359493,212.46700928228745,276.85751953125
89415cb4b97ffff->89415cb5db3ffff,28,89415cb4b97ffff,89415cb5db3ffff,1265.4285714285713,392.35714285714283,129.34395374570573,263.0131891114371,259.87074584960936
89415cb4b97ffff->89415cb49afffff,22,89415cb4b97ffff,89415cb49afffff,909.9090909090909,462.04545454545456,129.32540472529152,332.720049820163,236.69387512207038
89415cb5dc7ffff->89415cb5db3ffff,25,89415cb5dc7ffff,89415cb5db3ffff,697.56,507.6,129.12218788146973,378.4778121185303,257.3396850585938
89415cb4e3bffff->894143682c3ffff,19,89415cb4e3bffff,894143682c3ffff,3095.315789473684,426.6842105263158,129.03769028814216,297.6465202381736,262.0626586914062
894143682c3ffff->89415cb46afffff,26,894143682c3ffff,89415cb46afffff,4741.384615384615,516.0384615384615,128.9823496708503,387.0561118676112,292.8577575683594
89415cb4d47ffff->89415cb4cd7ffff,27,89415cb4d47ffff,89415cb4cd7ffff,1030.7777777777778,464.1111111111111,128.85272812567376,335.2583829854373,262.11096191406256
89415cb5dc7ffff->89415cb4b0fffff,18,89415cb5dc7ffff,89415cb4b0fffff,1950.2777777777778,513.7222222222222,128.7927788562245,384.9294433659977,221.82018127441407
89415cb4e43ffff->89415cb4193ffff,26,89415cb4e43ffff,89415cb4193ffff,1031.4615384615386,360.1923076923077,128.13960460516122,232.05270308714645,291.8633117675781
